㐷	horse; knight
科摩洛	Comoros
科摩罗	Union of the Comoros
科教片	science education film
科林斯	Collins
科索沃	Kosovo
科罗娜	Corona
科罗纳	Corona
科考队	scientific exploration team
科隆水	cologne
秒差距	parsec
秒秒钟	in a matter of seconds
秘书处	secretariat
秘书长	secretary-general
租借地	concession
秦二世	Qin Ershi , second Qin emperor
秦吉了	mythical talking bird
秦始皇	Qin Shihuang , the first emperor
秦淮河	Qinhuai River, a tributary of the Yangtze that flows through central Nanjing
秦越人	Qin Yueren , Warring States physician known for his medical skills
秧歌剧	Yangge opera, a rural form of theater
秩序美	order
积代会	conference of activist representatives
积分学	integral calculus
积分榜	table of scores
积极性	zeal
积累性	cumulative
积雨云	cumulonimbus
积雪场	snowpack
称之为	call it...
称得上	can be counted as
移动式	mobile
移动性	mobility
移山志	the will to move mountains
移植性	portability
移民局	immigration office
移民工	migrant worker
移民者	migrant; immigrant
移液器	pipette
移液管	pipette
稀巴烂	smashed up; broken into pieces
程不识	Cheng Bushi, Han dynasty general
程序员	programmer
程序库	program library
程序性	program
程序法	procedural law
程序猿	code monkey
程序码	source code
程式员	programmer
程式师	programmer
程式码	source code
稍快板	allegretto
稍早时	a little earlier
税务局	Tax Bureau
稳定塘	waste stabilization pond
稳定币	stablecoin
稳定度	degree of stability
稳定性	stability
稳恒态	steady state
稻田鹨	paddyfield pipit
稻草人	scarecrow
稽查员	inspector
穆加贝	Robert Mugabe , Zimbabwean ZANU-PF politician, president of Zimbabwe 1987-2017
穆勒鞋	mule shoes
穆夫提	mufti
穆尔西	Morsi, Mursi or Morsy
穆斯林	Muslim
穆萨维	Moussavi, Mir Hussein , candidate in Iran's disputed 2009 elections
穴居人	cave man
穷二代	those who did not benefit from the Chinese economic reforms of the 1980s
穷光蛋	poor wretch
穷忙族	the working poor
穷棒子	poor but spirited person
穷竭法	Archimedes' method of exhaustion
穷酸相	wretched look
空包弹	blank cartridge
空城计	the empty city stratagem ; double bluff
空对地	air-to-surface
空心墙	cavity wall
空心球	hollow ball
空心菜	water spinach; kangkung
空心面	macaroni
空想家	impractical dreamer
空房间	vacant room
空手道	karate
空拍机	drone equipped for aerial photography
空服员	flight attendant
空格键	space bar
空气流	flow of air
空洞洞	empty
空白点	gap
空着手	empty-handed
空窗期	window period
空荡荡	empty; deserted
空落落	empty
空调房	air-conditioned room
空调病	adverse effects caused by prolonged air-conditioning exposure, including dizziness, headaches, fatigue or chest tightness
空调车	air conditioned vehicle
空运费	air freight
空间局	space agency
空间站	space station
空降兵	paratrooper; airborne troops
穿堂风	draft
穿小鞋	have one's life made difficult by sb
穿山甲	pangolin
穿衣镜	full-length mirror
穿越剧	time-travel drama
穿越机	FPV drone; drone piloted through a live video feed
突击队	commando unit
突变株	mutant
突尼斯	Tunisia
突然间	suddenly
突破口	breach
突破性	groundbreaking
突破点	point of penetration
突触后	postsynaptic
突起部	bit sticking out
窃听器	tapping device
窃蛋龙	oviraptorosaurus
窗口期	window
窗户棂	window lattice
窗棂子	window lattice
窗玻璃	window pane
窝囊废	spineless coward
窝囊气	pent-up frustration
窝囊费	hard-earned wages
窝窝头	a kind of a bread
窝脓包	useless weakling
窝脖儿	suffer a snub
窝里斗	internal strife
窝里横	meek and civil in public, but a tyrant at home
窝阔台	Ögedei Khan , a son of Genghis Khan
窟窿眼	small hole
窦娥冤	The Injustice to Dou E
窦房结	sinoatrial node; sinuatrial node
窨井盖	manhole cover
立交桥	overpass
立体书	pop-up book
立体图	three-dimensional figure
立体声	stereophonic sound
立体派	Cubism
立体角	solid angle
立军功	render meritorious military service
立可白	correction fluid
立方体	cube
立方根	cube root
立方米	cubic meter
立法会	legislative council
立法院	Legislative Yuan, the unicameral legislature of the Republic of China
立足点	foothold
立陶宛	Lithuania
立面图	elevation
竖中指	give the middle finger
站军姿	stand at attention
站街女	streetwalker
站起来	stand up
竞争力	competitive strength
竞争性	competitive
竞争者	competitor
竞技场	arena
竞技性	competitive
竞赛者	player
章士钊	Zhang Shizhao , revolutionary journalist in Shanghai, then established writer
章太炎	Zhang Taiyan , scholar, journalist, revolutionary and leading intellectual around the time of the Xinhai revolution
章子怡	Zhang Ziyi , PRC actress
章鱼烧	takoyaki , a Japanese snack food
童养媳	child bride
童子军	Scout
童子尿	urine of boys under 12, used as medicine
童花头	short bobbed hairstyle
端到端	end-to-end
端午节	Dragon Boat Festival
端架子	put on airs
端粒酶	telomerase
端系统	end system
竹丝鸡	black-boned chicken
竹叶青	Trimeresurus stejnegeri
竹箍儿	bamboo hoop
竹篱笆	fence
竹节草	Mackie's pest; lovegrass
竹节虫	walking stick; stick insect
竺可桢	Zhu Kezhen , Chinese metereologist and geologist
笆篱子	prison
笑吟吟	smiling; with a smile
笑哈哈	laugh heartily
笑嘻嘻	grinning
笑点低	amused by even the weakest joke
笑盈盈	smilingly
笑眯眯	beaming
笑面虎	man with a big smile and evil intentions
笔杆子	pen
笔画数	stroke count
笔管面	penne pasta
笔记本	notebook
笛卡儿	René Descartes , French philosopher, mathematician and scientist
笛卡尔	René Descartes French philosopher
笛沙格	Girard Desargues , French geometer
符号学	semiotics
符记环	token ring
第一声	first tone in Mandarin
第一手	first-hand
第一次	the first time; for the first time
第一步	step one
第一流	first-class
第一炮	opening shot
第一眼	at first glance
第一线	front line
第一轮	first round
第三地	territory belonging to a third party
第三声	third tone in Mandarin
第三方	third party
第三纪	third period
第三者	third party
第二声	second tone in Mandarin
第二天	next day
第二性	The Second Sex
第二春	second spring
第二次	the second time; the second occurrence
第二轮	second round
第六人	sixth man
第六感	sixth sense
第四台	fourth channel
第四声	fourth tone in Mandarin
第四季	fourth quarter
第四权	the fourth estate; the press
第四纪	fourth period
第纳尔	dinar
等一下	wait a moment
等一会	Wait a moment!
等一等	wait a moment
等不及	can't wait
等化器	equalizer
等压线	isobar
等同语	an equivalent; a translation of a term into the target language
等熵线	isentropic curve
等着瞧	wait and see
等离子	plasma
等高线	contour line
筋斗云	Sun Wukong's magical cloud
筋膜枪	fascia gun; fascia massage gun
筋膜炎	fasciitis
答录机	answering machine
策划人	sponsor
策展人	curator
策源地	place of origin
筵席捐	tax on a banquet or feast
筷子腿	skinny legs
筷子芥	Arabis, a genus of Brassica family including cress
筹委会	organizing committee
筼筜湖	Yundang or Yuandang Lake in Xiamen
签售会	book signing event; fansign event
签唱会	autograph session
签字笔	felt-tip pen
签字者	signatory
签字费	signing bonus
签派室	dispatch office
签语饼	fortune cookie
简化字	simplified Chinese character
简单化	simplification
简帖儿	a letter
简易棚	makeshift shelter
简笔画	simple drawing; sketch
简言之	in simple terms
简谐波	simple harmonic wave
箍桶匠	cooper
箍桶店	coopery
箍节儿	short length
算不了	does not count for anything
算不得	not count as
算你狠	you got me!
算命家	fortune-teller
算命者	fortune-teller
算术式	arithmetic expression
算老几	just who do think are? think is?" etc)
算起来	calculate
管不着	it's none of your business!
管乐器	wind instrument
管他呢	don’t worry about
管他的	don’t worry about
管委会	administrative committee
管子工	plumber
管子钳	pipe wrench
管家婆	housewife
管弦乐	orchestral music
管得着	concern oneself with ; to make one's business
管扳手	pipe wrench
管理人	supervisor; manager; administrator
管理员	manager
管理学	management studies
管理站	management station
管理费	management fee
管闲事	meddle
管风琴	organ
箭头键	arrow key
箭毒木	antiaris, aka upas tree
箭毒蛙	poison dart frog
箱型车	van
篮板球	rebound
篮球场	basketball court
篮球队	basketball team
篮网球	netball
篷盖布	tarpaulin fabric
簧风琴	harmonium
米其林	Michelin
米凯拉	Michaela
米字旗	Union Jack
米尔斯	Mills
米尔顿	Milton
米底亚	Media
米歇尔	Michel or Mitchell
米白色	off-white; creamy white
米粉肉	rice flour meat
米老鼠	Mickey Mouse
米袋子	supply of grain to the public
米该亚	Micah
米诺安	Minoan
米高扬	Mikoyan
米高梅	Metro-Goldwyn-Mayer
米麴菌	Aspergillus oryzae
类人猿	hominid
类似点	resemblance
类器官	organoid
类固醇	steroid
类星体	quasar
类毒素	toxoid
类球面	prolate spheroid
类金属	metalloid
类黄酮	flavonoid
类鼻疽	melioidosis
粉底液	liquid foundation
粉砂岩	siltstone
粉砂石	siltstone
粉碎机	pulverizer
粉红色	pink
粉转黑	go from being an admirer to being a detractor
粒子束	beam of elementary particles
粒子流	stream of particles
粒细胞	granulocyte
粗体字	bold letter
粗管面	rigatoni
粘乎乎	sticky
粘扣带	velcro
粘稠度	viscosity
粘船鱼	shark sucker
粪化石	coprolite
粪金龟	dung beetle
粲夸克	charm quark
精品店	boutique
精子库	sperm bank
精密化	refinement
精打光	with absolutely nothing
精氨酸	argnine , an essential amino acid
精灵文	Elvish
精炼厂	refinery
精确度	accuracy
精神学	psychology
精神性	spirituality
精神病	mental disorder
精神科	psychiatry
精算师	actuary
精读课	intensive reading course
糊墙纸	wallpaper
糊涂虫	blunderer
糊涂账	muddled accounts
糖尿病	diabetes; diabetes mellitus
糖葫芦	tanghulu
糖蛋白	glycoprotein
糖酵解	glycolysis
糖醋肉	sweet and sour pork
糖醋鱼	sweet and sour fish
糖高粱	sweet sorghum
糙皮病	pellagra
糟糠妻	wife who goes through the hardships of poverty with her husband
糯米粉	glutinous rice flour
糯米糍	glutinous rice cake
糯米糕	glutinous rice cake
糯米纸	rice paper
系主任	head of a department; department chair
系列片	film series
系统性	systematic
素质差	so uneducated!
素食者	vegetarian
索多玛	Sodom
索杰纳	Sojourner
索绪尔	Saussure
索罗斯	Soros
索罗门	Solomon
索菲亚	Sofia
索里亚	Soria, Spain
索非亚	Sofia, capital of Bulgaria
索马甜	thaumatin
索马里	Somalia
紧巴巴	tight fitting
紧接着	immediately afterwards
紧箍咒	the Band-tightening Spell
紧绷绷	tight; stretched
紫丁香	lilac
紫云英	Chinese milk vetch
紫啸鸫	blue whistling thrush
紫坪铺	Zipingpu Dam, Sichuan
紫外光	ultraviolet light
紫外线	ultraviolet ray
紫寿带	black paradise flycatcher; Japanese paradise flycatcher
紫式部	Murasaki Shikibu , Japanese writer, author of "The Tale of Genji"
紫微宫	palace of Jade emperor
紫杉醇	Taxol , mitotic inhibitor used in cancer chemotherapy
紫林鸽	pale-capped pigeon
紫水晶	amethyst
紫水鸡	grey-headed swamphen
紫河车	dried human placenta
紫甘蓝	red cabbage
紫石英	amethyst
紫砂壶	zisha teapot; Yixing teapot
紫禁城	the Forbidden City
紫红色	red-purple
紫罗兰	common stock; gillyflower
紫苏属	genus Perilla
紫草科	Boraginaceae
紫菜属	Porphyra
紫菜薹	purple choy sum
紫质症	porphyria
紫金山	Purple Mountain in suburbs of Nanjing, with Ming tombs and Sun Yat-sen's mausoleum
紫金鹃	violet cuckoo
紫锥花	coneflower genus
累加器	accumulator
累成狗	be dog-tired
絮状物	floccule
繁体字	traditional Chinese character
繁殖体	propagule
红不让	home run
红五类	the “five red categories” , i.e. poor and lower-middle peasants, workers, revolutionary soldiers, revolutionary cadres, and revolutionary martyrs
红利股	dividend-paying stock
红加仑	redcurrant
红十字	Red Cross
红卫兵	Red Guards
红原鸡	red junglefowl
红名单	whitelist
红喉鹨	red-throated pipit
红嘴鸥	black-headed gull
红嘴鹲	red-billed tropicbird
红地毯	red carpet
红外线	infrared ray
红头菜	beetroot
红姑娘	Chinese lantern plant
红宝书	the "Little Red Book" of selected writings of Mao Zedong
红宝石	ruby
红尾鸫	Naumann's thrush
红尾鹲	red-tailed tropicbird
红巨星	red giant
红巾军	the Red Turbans, peasant rebellion at the end of the Yuan dynasty
红彤彤	bright red
红扑扑	red
红新月	Red Crescent
红景天	roseroot
红曲米	red yeast rice
红树林	mangrove forest or swamp
红桤树	red alder
红樱枪	ancient spear-like weapon, decorated with a red tassel
红殷殷	dark red
红毛丹	rambutan or rumbutan
红火蚁	fire ant , an introduced species in China
红灯区	red-light district
红灯记	The Legend of the Red Lantern
红烧肉	red braised pork
红熊猫	lesser Panda
红玉髓	carnelian
红玛瑙	cornelian
红珊瑚	red coral
红璧玺	topaz
红眼病	pinkeye
红矮星	red dwarf star
红筹股	red chip stocks
红箍儿	red armband
红细胞	erythrocyte
红绿灯	traffic light
红缨枪	traditional Chinese spear with a red tassel at the base of the spearhead
红羊劫	national disaster
红耳鹎	red-whiskered bulbul
红胡子	band of mounted bandits in Manchuria
红胸鸻	Caspian plover
红脖子	redneck
红脚隼	Amur falcon
红脚鹬	common redshank
红臂章	red armband
红艳艳	brilliant red
红茶菌	kombucha
红药水	mercurochrome
红菜头	beet; beetroot
红萝卜	carrot
红血球	erythrocyte
红角鸮	oriental scops owl
红豆沙	red bean paste
红辣椒	hot red pepper
红醋栗	red currant
红铃虫	pink bollworm
红霉素	erythromycin
红顶鹛	chestnut-capped babbler
红领巾	red neckscarf
红马甲	red waistcoat
红骨髓	red bone marrow; hematopoietic marrow
红高粱	red sorghum
红魔鬼	Red Devils, nickname of Manchester United Football Club
纤维丛	fiber bundle
纤维状	fibrous
纤维素	cellulose
纤维胶	viscose
约书亚	Joshua
约伯记	Book of Job
约克郡	Yorkshire
约拿书	Book of Jonah
约旦河	Jordan River
约束力	binding
约沙法	Jehoshaphat, fourth king of Judah
约珥书	Book of Joel
约瑟夫	Joseph
约等于	approximately equal to
约维克	Gjøvik
约翰逊	Johnson or Johnston
约西亚	Josiah or Yoshiyahu , a king of Judah
纪传体	history genre based on biography, such as Sima Qian's Record of the Historian
纪伯伦	Khalil Gibran , Lebanese poet, writer and artist
纪元前	before the common era
纪录片	newsreel
纪念册	commemorative album; autograph book; yearbook
纪念品	souvenir; memento
纪念堂	memorial hall
纪念奖	trophy
纪念币	commemorative coin
纪念日	day of commemoration
纪念碑	monument
纪念章	memorial badge
纪念钞	commemorative banknote
纪念馆	memorial museum; memorial hall
纬线圈	line of latitude
纯净水	purified water
纯利益	net profit; net gain
纯合子	homozygote
纯文字	text-only
纯文本	plain text
纯牛奶	pure milk
纯素食	vegan food; vegan diet; vegan
纯血统	pure-blood; full-blood
纯褐鹱	Bulwer's petrel
纯音乐	instrumental music
纳匝肋	Nazareth
纳卫星	nanosatellite
纳吉布	Mohamed Naguib , first president of the Republic of Egypt
纳尔逊	Horatio Nelson , British naval hero
纳尼亚	Narnia, children's fantasy world in stories by C.S. Lewis
纳木错	Namtso or Lake Nam , mountain lake at Nakchu in central Tibet
纳杰夫	Najaf
纳洛酮	naloxone
纳瓦萨	Navassa
纳瓦霍	Navajo
纳皮尔	Napier
纳税人	taxpayer
纳粹党	Nazi Party
纳西族	Nakhi ethnic group
纳豆菌	Bacillus subtilis , a common soil bacterium
纳赛尔	Nasr or Nasser
纳赫雄	Nahshon
纳达尔	Nadal
纳骨塔	columbarium
纵剖面	vertical section
纵坐标	vertical coordinate; ordinate
纵断面	vertical section
纵火犯	arsonist
纸叶子	deck of playing cards
纸尿布	disposable diaper
纸尿片	disposable diaper
纸尿裤	disposable diaper
纸火柴	matches made of cardboard
纸火锅	paper hot pot
纸煤儿	paper taper used to light cigarette etc
纸片人	extremely thin person
纸老虎	paper tiger
纸质书	physical book; printed book
纸飞机	paper airplane
纸黄金	gold contract
纹喉鹎	stripe-throated bulbul
纹胸鹛	pin-striped tit-babbler
纺织厂	textile factory
纺织品	textile
纺织娘	katydid
纺织物	textile material
纽交所	New York Stock Exchange
纽伦堡	Nuremberg, town in Bavaria, Germany
纽卡素	Newcastle
纽奥良	New Orleans, Louisiana
纽泽西	New Jersey, USA
纽瓦克	Newark
纽约人	New Yorker
纽约客	resident of New York
纽约州	New York state
纽约市	New York City
纽芬兰	Newfoundland Island, Canada
纽西兰	New Zealand
线尾燕	wire-tailed swallow
线形图	line chart
线性图	line chart
线性波	linear wave
线粒体	mitochondrion
线速度	linear velocity
练习册	exercise booklet
练习场	driving range
练习本	exercise book
练习生	trainee; apprentice; probationary employee
组合拳	a combination of punches
组合论	combinatorics
组委会	organizing committee
组氨酸	histidine , an essential amino acid
组织学	histology
组织法	organic law
组织者	organizer
组织胺	histamine
组装厂	assembly plant
细叶脉	veinlet in a leaf
细嘴鸥	slender-billed gull
细尾獴	meerkat
细明体	Mincho narrow font
细胞器	organelle
细胞壁	cell wall
细胞学	cytology
细胞核	nucleus
细胞毒	cytotoxin
细胞膜	cell membrane
细胞质	cytoplasm
细菌战	biological warfare; germ warfare
细菌群	bacterial community
细颈瓶	jug
细香葱	chive
织布机	loom
织金锦	gold brocade
终产物	end product
终南山	Zhongnan Mountains, near Xi'an
终期癌	terminal cancer
终点站	terminus
终点线	finishing line
终端机	terminal
终身俸	pension
终身制	life tenure
绊脚石	stumbling block
绍兴酒	Shaoxing wine a.k.a. "yellow wine", traditional Chinese wine made from glutinous rice and wheat
经不住	be unable to bear
经不起	can't stand it
经信委	Economy and Informatization Commission
经得起	be able to withstand
经手人	the person in charge
经济人	Homo economicus
经济体	an economy; a country viewed as an economic entity
经济学	economics
经济座	economy seat
经济界	economic circles
经济舱	economy class
经纪人	broker
经纬仪	theodolite
经纬线	warp and woof
经营者	executive
经销商	dealer
绒螯蟹	mitten crab
绒额䴓	velvet-fronted nuthatch
结合律	associative law z = x
结婚证	marriage certificate
结对子	team up; to pair up; to form a cooperative association
结晶体	a crystal
结晶学	crystallography
结晶水	water of crystallization
结晶状	crystalline
结束语	concluding remarks
结构式	structural formula
结构性	structural
结核病	tuberculosis
结梁子	start a feud
结肠炎	colitis
结肠镜	colonoscope
结膜炎	conjunctivitis
绕一圈	go around one time
绕口令	tongue-twister
绕圈子	go around in circles
绕弯儿	go for a walk around
绕弯子	go on a long detour
绕脖子	tricky
绕远儿	go the long way round
绘文字	emoji
绘架座	Pictor
给排水	water supply and drainage
给皂器	soap dispenser
给面子	show deference or praise publicly
绝命书	suicide note
绝对值	absolute value
绝对权	absolute rights
绝热漆	heat-resistant paint
绝绝子	absolutely amazing
绝缘体	electrical insulation
绝门儿	extinct profession
绞刑架	gibbet
绞肉机	meat grinder
绞股蓝	jiaogulan
绞脑汁	rack one's brains
统一体	whole
统一性	unity
统一码	Unicode
统战部	United Front Work Department of CCP Central Committee
统治力	dominance; supremacy
统治权	sovereignty
统治者	ruler
统称为	collectively known as
统计员	statistician
统计学	statistics
统计表	statistical table
绣球花	hydrangea
绣球藤	Clematis montana
绣花鞋	embroidered shoes
绥芬河	Suifen River, a river in China and Russia that flows into the Sea of Japan
绥远省	former Suiyuan province in Inner Mongolia and Shanxi
绦虫纲	Cestoda
继任者	successor
继子女	stepchildren
继承人	heir
继承权	right of inheritance
继承者	successor
继父母	step-parents
继电器	relay
绩优股	gilt-edged stock
续随子	caper
绮想曲	capriccio
绳索套	a noose
维也纳	Vienna, capital of Austria
维京人	Viking
维他命	vitamin
维克托	Victor
维吾尔	Uyghur ethnic group
维尔容	Viljoen
维尼熊	Winnie the Pooh
维德角	Cape Verde
维拉港	Port Vila, capital of Vanuatu
维持费	maintenance costs
维新派	the reformist faction
维生素	vitamin
维管束	vascular bundle
维管柱	vascular column
维纳斯	Venus
维维安	Vivian; Vivien; Vivienne
维罗纳	Verona
绵白糖	sugar powder
绷不住	can't contain oneself
绷着脸	have a taut face
综合征	syndrome
综合性	synthesis
综合法	synthesis
综合症	syndrome
综合馆	complex
绿化带	landscaped green strip; planted green belt
绿叶菜	leafy green vegetable; leafy greens
绿头巾	green turban
绿头鸭	mallard
绿孔雀	green peafowl
绿宝石	beryl
绿帽子	green hat
绿松石	turquoise
绿油油	lush green; verdant
绿泡泡	WeChat; WeChat account
绿泥石	chlorite
绿玉髓	chrysoprase
绿玛瑙	chrysoprase
绿皇鸠	green imperial pigeon
绿皮书	green paper
绿皮车	green train
绿翅鸭	Eurasian teal
绿花菜	broccoli
绿茵场	football field
绿茶婊	a woman who appears innocent or gentle but is actually calculating and manipulative
绿莹莹	green and lush
绿菜花	broccoli
绿营兵	Green standard army, standing infantry during Qing dynasty, originally formed from Ming and other Chinese army units
绿豆椪	mung bean cake
绿赤杨	green alder
缅甸语	Burmese
缉毒犬	drug detector dog
缎纹织	satin weave
缓冲器	buffer
缓释肥	slow-release fertilizer
缓降器	cable reel and harness used to lower oneself to safety
缔约国	signatory states
缔约方	party in a contract, treaty etc
缔造者	creator
编年体	in the style of annals
编年史	annals
编码器	encoder
编织品	woven fabric
编者按	editor's commentary
编译器	compiler
编译家	translator and editor
编辑器	editor
编辑室	editorial office; newsroom
编辑家	editor
缝合带	suture zone
缝纫机	sewing machine
缝衣匠	tailor
缝衣针	sewing needle
缝针迹	seam
缟玛瑙	onyx
缠绕茎	vine
缩印本	compact edition
缩氨酸	peptide
缩略图	thumbnail
缩略字	abbreviated character
缩略语	abbreviated word
缬氨酸	valine , an essential amino acid
缭边儿	stitch a hem
缺乏症	clinical deficiency
缺德事	misdeed
缺德鬼	public nuisance
缺心眼	stupid
缺氧症	anoxia
网信办	Cyberspace Administration of China
网师园	Master of the Nets Garden in Suzhou, Jiangsu, one of the Classical Gardens of Suzhou, a UNESCO World Heritage Site
网格员	community worker employed under China's grid-based governance system, responsible for patrolling neighborhoods, collecting information, mediating disputes and assisting residents
网状脉	netted veins
网球场	tennis court
网球赛	tennis match
网管员	network manager
网约车	app-based taxi
网络客	online customer
网络层	network layer
网罟座	Reticulum
罗一秀	Luo Yixiu , Mao Zedong's first wife
罗世昌	Luo Shichang, Qing dynasty painter
罗伦斯	Lawrence
罗伯特	Robert
罗伯茨	Roberts
罗伯逊	Robertson
罗保铭	Luo Baoming , sixth governor of Hainan
罗嘉良	Gallen Lo , Hong Kong actor and singer
罗圈架	a quarrel in which third parties get involved
罗圈腿	bow-legged
罗姆人	Romani, an ethnic group of Europe
罗姆酒	rum
罗安达	Luanda, capital of Angola
罗宋汤	borscht, a traditional beetroot soup
罗家英	Law Kar-Ying , Hong Kong actor
罗宾汉	Robin Hood
罗宾逊	Robinson
罗密欧	Romeo
罗布泊	Lop Nor, former salt lake in Xinjiang, now a salt-encrusted lake bed
罗布麻	dogbane , leaves used in TCM
罗得岛	Rhode Island, US state
罗德岛	Rhode Island, US state
罗志祥	Luo Zhixiang or Show Luo or Alan Luo , Taiwanese pop star
罗懋登	Luo Maodeng , Ming author of operas and popular fiction
罗斯福	Roosevelt
罗曼使	romance
罗曼史	romance
罗曼司	romance
罗曼诺	Romano
罗望子	tamarind
罗杰斯	Rogers
罗汉拳	Luohan Quan
罗汉果	monk fruit, the sweet fruit of Siraitia grosvenorii, a vine of the Curcubitaceae family native to southern China and northern Thailand, used in Chinese medicine
罗汉病	snail fever , disease caused by schistosome parasitic flatworm
罗汉肚	potbelly
罗汉豆	broad bean ; fava bean
罗汉鱼	flowerhorn cichlid
罗浮宫	the Louvre, museum in Paris
罗浮山	Mt Luofushan in Zengcheng county, Guangdong
罗生门	unsolvable case
罗盘座	Pyxis
罗盛教	Luo Chengjiao , PRC hero of the volunteer army in Korea
罗纳河	Rhone, river of Switzerland and France
罗纹鸭	falcated duck
罗荣桓	Luo Ronghuan , Chinese communist military leader
罗讷河	Rhone River, France
罗贯中	Luo Guanzhong , author of the Romance of the Three Kingdoms and other works
罗贾瓦	Rojava
罗锅桥	a humpback bridge
罗霄山	Luoxiao Mountains, mountain range straddling the border between Jiangxi and Hunan
罗非鱼	tilapia
罗马书	Epistle of St Paul to the Romans
罗马化	romanization
罗马字	the Latin alphabet
罗马法	Roman law
罗马诺	Romano
罗马鞋	caligae
罚出场	send a player off the field
罚半蹲	punish a student by having him stand in a half-squatting position with arms extended forward
罪恶感	feeling of guilt
置信限	confidence limit
置换群	permutation group
置物柜	locker
罱泥船	boat used for collecting river sludge
羊毛毯	woolen blanket
羊毛线	knitting wool
羊毛脂	lanolin
羊毛衫	wool sweater; cardigan
羊痒疫	scrapie
羊痫风	epilepsy
羊癫疯	epilepsy
羊皮纸	parchment
羊肉串	lamb kebab
羊肉馅	minced mutton
羊角包	croissant
羊角村	Giethoorn
羊角芹	ground-elder
羊角豆	okra
羊角锤	claw hammer
羊角风	epilepsy
美中台	US-China-Taiwan
美丽岛	Formosa
美乃滋	mayonnaise
美人尖	widow's peak
美人痣	beauty mark
美人蕉	canna or Indian shot
美人计	honey trap
美人鱼	mermaid
美以美	Methodist
美利坚	America
美发厅	hairdressing salon
美发师	hairdresser
美因茨	Mainz
美国人	American
美国佬	an American
美姑河	Meigu River in south Sichuan
美容女	hairdresser
美容师	hairdresser
美容店	beauty salon
美容觉	beauty sleep
美容院	beauty salon; beauty parlor
美工刀	utility knife
美差事	a terrific job
美智子	Empress Michiko of Japan
美术史	history of art
美术品	an art object
美术馆	art gallery
美杜莎	Medusa
美汁源	Minute Maid
美沙酮	methadone
美泉宫	Schönbrunn Palace in Vienna
美洲狮	cougar
美洲虎	jaguar
美洲豹	jaguar
美洲鸵	Greater Rhea
美浓瓜	oriental melon
美滋滋	very happy; elated
美甲师	manicurist; nail artist
美粒果	Minute Maid
美耐板	melamine veneer
美耐皿	melamine
美职篮	National Basketball Association
美联储	US Federal Reserve , the US central bank
美联社	Associated Press
美食家	gourmet
美食街	food court; food street
羞答答	bashful
羞羞脸	shame on you!
羟氯喹	hydroxychloroquine
群众性	do with the masses
群英会	distinguished gathering
群言堂	letting everyone have their say
羧基酸	carboxylic acid
羽毛球	badminton
羽毛笔	quill pen
羽毛缎	camlet
羽绒服	down jacket; down coat
羽鳃鲐	Indian mackerel
翅膀硬	fledge
翘嘴鹬	Terek sandpiper
翘尾巴	be cocky
翘拇指	give a thumbs-up
翘翘板	see-saw
翘舌音	retroflex sound
翘辫子	die
翟志刚	Zhai Zhigang , Chinese astronaut
翟理斯	Herbert Allen Giles , British diplomat and linguist, contributor to the Wade-Giles Chinese romanization system
翠冠玉	peyote
翠金鹃	Asian emerald cuckoo
翠青蛇	Entechinus major
翡冷翠	Florence, Italy
翦伯赞	Jian Bozan , Chinese Marxist historian and vice-president of Bejing University 1952-1968
翰林院	Imperial Hanlin Academy, lasting from Tang dynasty until 1911
翻一番	increase by 100%; to double
翻子拳	Fanziquan - "Overturning Fist" - Martial Art
翻旧账	turn over old accounts
翻桌率	table turnover rate
翻版碟	copy of DVD
翻白眼	roll one's eyes
翻石鹬	ruddy turnstone
翻筋斗	tumble
翻篇儿	turn a page
翻老账	turn over old accounts
翻译家	translator
翻译者	translator
翻跟头	turn a somersault
翻跟斗	turn a somersault
翻车鱼	ocean sunfish
翻过来	overturn
翼子板	fender
翼手龙	pterodactyl
老一套	the same old stuff
老一辈	older generation
老丈人	father-in-law
老三篇	Lao San Pian, three short essays written by Mao Zedong before the PRC was established
老三色	the three plain colors used for clothing in the PRC in the 1960s: black, gray and blue
老不死	old but still alive
老东西	old fool
老两口	old married couple
老人家	polite term for old woman or man
老人院	nursing home
老伯伯	grandpa
老佛爷	title of respect for the queen mother or the emperor's father
老公公	old man
老半天	a long time
老古板	overly conservative
老古董	antique; old relic
老司机	an old hand at sth
老地方	same place as before
老城区	old city district
老处女	unmarried old woman
老大哥	big brother
老大妈	"Madam"
老大娘	old lady
老大爷	uncle
老天爷	God
老太公	aged gentleman
老太太	elderly lady
老太婆	old woman
老太爷	elderly gentleman
老头乐	backscratcher
老头子	old man
老套子	old methods
老奶奶	father's father's mother
老好人	one who tries never to offend anybody
老妇人	elderly woman
老妈子	older female servant; amah
老婆本	savings a man puts aside for married life
老婆饼	"wife cake" – a thin, flaky Cantonese pastry filled with sweetened winter melon
老嫂子	effeminate man
老字号	shop, firm, or brand of merchandise with a long-established reputation
老实说	honestly speaking; to be frank, ...
老家伙	old fellow
老家贼	sparrow
老少配	romantic relationship with a significant age gap
老帽儿	country bumpkin
老年人	old people; the elderly
老年斑	liver spot; age spot
老年期	old age
老戏骨	veteran actor
老掉牙	very old
老搭档	longtime partner; longstanding collaborator
老朋友	old friend
老来俏	mutton dressed as lamb
老来少	old but young at heart
老板娘	female proprietor
老样子	old situation
老框框	rigid conventions
老毛子	Westerner
老毛病	chronic illness
